date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-02,1130.00,1159.90,1121.25,1125.50,1128.25,SHORT,1130.00,884,1128.25,1128.25,true,40.00,399.26,1107.74,0.11,1001107.74
2025-01-03,1134.00,1170.50,1128.70,1143.65,1135.77,LONG,1134.00,882,1135.77,1135.77,true,40.00,400.39,1120.75,0.11,1002228.49
2025-01-06,1143.65,1149.45,1103.65,1132.15,1153.74,LONG,1143.65,876,1153.74,1132.15,false,40.00,398.72,-10512.72,-1.05,991715.77
2025-01-07,1113.15,1188.70,1113.15,1184.75,1127.15,LONG,1113.15,890,1127.15,1127.15,true,40.00,398.77,12021.23,1.21,1003737.00
2025-01-08,1185.00,1190.00,1158.85,1181.85,1160.63,SHORT,1185.00,847,1160.63,1160.63,true,40.00,397.35,20204.04,2.01,1023941.04
2025-01-09,1177.00,1215.00,1167.10,1203.25,1170.07,SHORT,1177.00,869,1170.07,1170.07,true,40.00,407.92,5574.25,0.54,1029515.29
2025-01-10,1191.00,1206.95,1150.55,1200.45,1198.07,LONG,1191.00,864,1198.07,1198.07,true,40.00,412.83,5655.65,0.55,1035170.94
2025-01-13,1175.05,1186.45,1091.90,1116.35,1186.80,LONG,1175.05,880,1186.80,1116.35,false,40.00,403.29,-52099.29,-5.04,983071.65
2025-01-14,1117.45,1159.00,1096.20,1152.35,1131.77,LONG,1117.45,879,1131.77,1131.77,true,40.00,395.41,12151.87,1.24,995223.52
2025-01-15,1159.40,1165.00,1128.10,1134.00,1132.03,SHORT,1159.40,858,1132.03,1132.03,true,40.00,393.21,23050.25,2.32,1018273.77
2025-01-16,1140.00,1229.00,1140.00,1201.45,1142.48,LONG,1140.00,893,1142.48,1142.48,true,40.00,407.65,1766.99,0.17,1020040.76
2025-01-17,1201.40,1289.50,1194.20,1276.25,1196.74,SHORT,1201.40,849,1196.74,1196.74,true,40.00,407.20,3509.14,0.34,1023549.89
2025-01-20,1290.00,1345.80,1283.10,1329.25,1263.02,SHORT,1290.00,793,1263.02,1329.25,false,40.00,415.41,-31580.66,-3.09,991969.23
2025-01-21,1335.25,1340.85,1272.50,1280.40,1327.19,SHORT,1335.25,742,1327.19,1327.19,true,40.00,395.11,5545.41,0.56,997514.65
2025-01-22,1276.00,1280.30,1196.65,1217.10,1299.58,LONG,1276.00,781,1299.58,1217.10,false,40.00,389.42,-46430.32,-4.66,951084.32
2025-01-23,1208.00,1303.25,1191.55,1290.70,1226.70,LONG,1208.00,787,1226.70,1226.70,true,40.00,383.22,14293.68,1.50,965378.00
2025-01-24,1294.00,1300.55,1235.05,1241.20,1275.13,SHORT,1294.00,746,1275.13,1275.13,true,40.00,383.31,13653.71,1.41,979031.71
2025-01-27,1215.60,1218.75,1173.10,1204.55,1255.45,LONG,1215.60,805,1255.45,1204.55,false,40.00,389.64,-9324.89,-0.95,969706.81
2025-01-28,1200.00,1243.90,1136.50,1212.05,1194.80,SHORT,1200.00,808,1194.80,1194.80,true,40.00,387.00,3774.60,0.39,973481.41
2025-01-29,1218.50,1256.00,1208.05,1229.45,1194.41,SHORT,1218.50,798,1194.41,1229.45,false,40.00,390.69,-9168.79,-0.94,964312.62
2025-01-30,1230.00,1292.00,1229.05,1267.35,1237.15,LONG,1230.00,783,1237.15,1237.15,true,40.00,386.36,5172.09,0.54,969484.72
2025-01-31,1275.00,1325.00,1267.30,1305.00,1268.22,SHORT,1275.00,760,1268.22,1268.22,true,40.00,386.57,4726.23,0.49,974210.95
2025-02-01,1316.00,1345.00,1198.00,1253.35,1311.29,SHORT,1316.00,740,1311.29,1311.29,true,40.00,388.84,3056.56,0.31,977267.51
