date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-02,46.66,50.31,46.56,50.31,48.14,LONG,46.66,21431,48.14,48.14,true,40.00,406.33,31271.55,3.13,1031271.55
2025-01-03,51.77,52.82,51.43,52.82,49.22,SHORT,51.77,19920,49.22,52.82,false,40.00,416.69,-21372.69,-2.07,1009898.86
2025-01-06,54.27,54.27,50.70,51.31,52.53,SHORT,54.27,18608,52.53,52.53,true,40.00,397.47,31940.45,3.16,1041839.31
2025-01-07,52.30,53.87,51.19,53.87,52.44,LONG,52.30,19920,52.44,52.44,true,40.00,417.28,2331.52,0.22,1044170.83
2025-01-08,54.10,55.00,51.17,52.05,52.95,SHORT,54.10,19300,52.95,52.95,true,40.00,413.21,21741.79,2.08,1065912.62
2025-01-09,52.60,53.15,50.79,51.10,52.34,SHORT,52.60,20264,52.34,52.34,true,40.00,425.30,4803.34,0.45,1070715.96
2025-03-03,43.24,43.90,40.86,41.98,51.63,LONG,43.24,24762,51.63,41.98,false,40.00,422.04,-31662.16,-2.96,1039053.79
2025-03-04,41.50,43.55,40.01,42.59,41.72,LONG,41.50,25037,41.72,41.72,true,40.00,416.72,5051.42,0.49,1044105.22
2025-03-05,42.04,44.50,42.01,44.00,42.55,LONG,42.04,24835,42.55,42.55,true,40.00,420.16,12205.69,1.17,1056310.91
2025-03-06,44.40,44.69,43.79,44.04,43.82,SHORT,44.40,23790,43.82,43.82,true,40.00,419.75,13338.45,1.26,1069649.36
2025-03-07,44.00,44.95,43.30,43.95,44.22,LONG,44.00,24310,44.22,44.22,true,40.00,428.93,4879.27,0.46,1074528.63
2025-03-10,44.59,44.90,41.75,41.75,43.92,SHORT,44.59,24097,43.92,43.92,true,40.00,426.57,15678.42,1.46,1090207.06
2025-03-11,40.93,42.51,40.30,42.34,42.98,LONG,40.93,26635,42.98,42.34,false,40.00,443.58,37071.77,3.40,1127278.83
